Date,Country/Region,Confirmed,Deaths
2020-01-30,France,5,0
2020-01-30,Germany,4,0
2020-01-30,Hong Kong,10,0
2020-01-30,India,1,0
2020-01-30,Japan,11,0
2020-01-30,Macao,7,0
2020-01-30,China,8124,171
2020-01-30,Malaysia,8,0
2020-01-30,Nepal,1,0
2020-01-30,Philippines,1,0
2020-01-30,Singapore,10,0
2020-01-30,South Korea,4,0
2020-01-30,Sri Lanka,1,0
2020-01-30,Taiwan,9,0
2020-01-30,Thailand,14,0
2020-01-30,United States of America,5,0
2020-01-30,United Arab Emirates,4,0
2020-01-30,Viet Nam,2,0
2020-01-30,Total,8235,171
2020-01-31,Australia,9,0
2020-01-31,Cambodia,1,0
2020-01-31,Canada,3,0
2020-01-31,Finland,1,0
2020-01-31,France,5,0
2020-01-31,Germany,5,0
2020-01-31,Hong Kong,12,0
2020-01-31,India,1,0
2020-01-31,Italy,2,0
2020-01-31,Japan,15,0
2020-01-31,Macao,7,0
2020-01-31,China,9783,213
2020-01-31,Malaysia,8,0
2020-01-31,Nepal,1,0
2020-01-31,Philippines,1,0
2020-01-31,Russia,2,0
2020-01-31,Singapore,13,0
2020-01-31,South Korea,11,0
2020-01-31,Sri Lanka,1,0
2020-01-31,Sweden,1,0
2020-01-31,Taiwan,10,0
2020-01-31,Thailand,19,0
2020-01-31,United Kingdom,2,0
2020-01-31,United States of America,6,0
2020-01-31,United Arab Emirates,4,0
2020-01-31,Viet Nam,2,0
2020-01-31,Total,9925,213
2020-02-01,Australia,12,0
2020-02-01,Cambodia,1,0
2020-02-01,Canada,4,0
2020-02-01,Finland,1,0
2020-02-01,France,6,0
2020-02-01,Germany,8,0
2020-02-01,Hong Kong,13,0
2020-02-01,India,1,0
2020-02-01,Italy,2,0
2020-02-01,Japan,20,0
2020-02-01,Macao,7,0
2020-02-01,China,11871,259
2020-02-01,Malaysia,8,0
2020-02-01,Nepal,1,0
2020-02-01,Philippines,1,0
2020-02-01,Russia,2,0
2020-02-01,Singapore,16,0
2020-02-01,South Korea,12,0
2020-02-01,Spain,1,0
2020-02-01,Sri Lanka,1,0
2020-02-01,Sweden,1,0
2020-02-01,Taiwan,10,0
2020-02-01,Thailand,19,0
2020-02-01,United Kingdom,2,0
2020-02-01,United States of America,8,0
2020-02-01,United Arab Emirates,4,0
2020-02-01,Viet Nam,6,0
2020-02-01,Total,12038,259
2020-02-02,Australia,12,0
2020-02-02,Cambodia,1,0
2020-02-02,Canada,4,0
2020-02-02,Finland,1,0
2020-02-02,France,6,0
2020-02-02,Germany,10,0
2020-02-02,Hong Kong,15,0
2020-02-02,India,2,0
2020-02-02,Italy,2,0
2020-02-02,Japan,20,0
2020-02-02,Macao,8,0
2020-02-02,China,16607,361
2020-02-02,Malaysia,8,0
2020-02-02,Nepal,1,0
2020-02-02,Philippines,2,1
2020-02-02,Russia,2,0
2020-02-02,Singapore,18,0
2020-02-02,South Korea,15,0
2020-02-02,Spain,1,0
2020-02-02,Sri Lanka,1,0
2020-02-02,Sweden,1,0
2020-02-02,Taiwan,10,0
2020-02-02,Thailand,19,0
2020-02-02,United Kingdom,2,0
2020-02-02,United States of America,8,0
2020-02-02,United Arab Emirates,5,0
2020-02-02,Viet Nam,6,0
2020-02-02,Total,16787,362
2020-02-03,Australia,12,0
2020-02-03,Cambodia,1,0
2020-02-03,Canada,4,0
2020-02-03,Finland,1,0
2020-02-03,France,6,0
2020-02-03,Germany,12,0
2020-02-03,Hong Kong,15,0
2020-02-03,India,3,0
2020-02-03,Italy,2,0
2020-02-03,Japan,20,0
2020-02-03,Macao,8,0
2020-02-03,China,19693,425
2020-02-03,Malaysia,8,0
2020-02-03,Nepal,1,0
2020-02-03,Philippines,2,1
2020-02-03,Russia,2,0
2020-02-03,Singapore,18,0
2020-02-03,South Korea,15,0
2020-02-03,Spain,1,0
2020-02-03,Sri Lanka,1,0
2020-02-03,Sweden,1,0
2020-02-03,Taiwan,10,0
2020-02-03,Thailand,19,0
2020-02-03,United Kingdom,2,0
2020-02-03,United States of America,11,0
2020-02-03,United Arab Emirates,5,0
2020-02-03,Viet Nam,8,0
2020-02-03,Total,19881,426
2020-02-04,Australia,13,0
2020-02-04,Belgium,1,0
2020-02-04,Cambodia,1,0
2020-02-04,Canada,4,0
2020-02-04,Finland,1,0
2020-02-04,France,6,0
2020-02-04,Germany,12,0
2020-02-04,Hong Kong,17,1
2020-02-04,India,3,0
2020-02-04,Italy,2,0
2020-02-04,Japan,22,0
2020-02-04,Macao,10,0
2020-02-04,China,23680,490
2020-02-04,Malaysia,10,0
2020-02-04,Nepal,1,0
2020-02-04,Philippines,2,1
2020-02-04,Russia,2,0
2020-02-04,Singapore,24,0
2020-02-04,South Korea,16,0
2020-02-04,Spain,1,0
2020-02-04,Sri Lanka,1,0
2020-02-04,Sweden,1,0
2020-02-04,Taiwan,11,0
2020-02-04,Thailand,25,0
2020-02-04,United Kingdom,2,0
2020-02-04,United States of America,11,0
2020-02-04,United Arab Emirates,5,0
2020-02-04,Viet Nam,8,0
2020-02-04,Total,23892,492
2020-02-05,Australia,13,0
2020-02-05,Belgium,1,0
2020-02-05,Cambodia,1,0
2020-02-05,Canada,5,0
2020-02-05,Finland,1,0
2020-02-05,France,6,0
2020-02-05,Germany,12,0
2020-02-05,Hong Kong,21,1
2020-02-05,India,3,0
2020-02-05,Italy,2,0
2020-02-05,Japan,22,0
2020-02-05,Macao,10,0
2020-02-05,China,27409,562
2020-02-05,Malaysia,12,0
2020-02-05,Nepal,1,0
2020-02-05,Philippines,2,1
2020-02-05,Russia,2,0
2020-02-05,Singapore,28,0
2020-02-05,South Korea,19,0
2020-02-05,Spain,1,0
2020-02-05,Sri Lanka,1,0
2020-02-05,Sweden,1,0
2020-02-05,Taiwan,11,0
2020-02-05,Thailand,25,0
2020-02-05,United Kingdom,2,0
2020-02-05,United States of America,12,0
2020-02-05,United Arab Emirates,5,0
2020-02-05,Viet Nam,8,0
2020-02-05,Total,27636,564
2020-02-06,Australia,14,0
2020-02-06,Belgium,1,0
2020-02-06,Cambodia,1,0
2020-02-06,Canada,5,0
2020-02-06,Finland,1,0
2020-02-06,France,6,0
2020-02-06,Germany,12,0
2020-02-06,Hong Kong,24,1
2020-02-06,India,3,0
2020-02-06,Italy,2,0
2020-02-06,Japan,45,0
2020-02-06,Macao,10,0
2020-02-06,China,30553,632
2020-02-06,Malaysia,12,0
2020-02-06,Nepal,1,0
2020-02-06,Philippines,2,1
2020-02-06,Russia,2,0
2020-02-06,Singapore,28,0
2020-02-06,South Korea,23,0
2020-02-06,Spain,1,0
2020-02-06,Sri Lanka,1,0
2020-02-06,Sweden,1,0
2020-02-06,Taiwan,16,0
2020-02-06,Thailand,25,0
2020-02-06,United Kingdom,2,0
2020-02-06,United States of America,12,0
2020-02-06,United Arab Emirates,5,0
2020-02-06,Viet Nam,10,0
2020-02-06,Total,30818,634
2020-02-07,Australia,15,0
2020-02-07,Belgium,1,0
2020-02-07,Cambodia,1,0
2020-02-07,Canada,7,0
2020-02-07,Finland,1,0
2020-02-07,France,6,0
2020-02-07,Germany,13,0
2020-02-07,Hong Kong,25,1
2020-02-07,India,3,0
2020-02-07,Italy,3,0
2020-02-07,Japan,25,0
2020-02-07,Macao,10,0
2020-02-07,China,34075,717
2020-02-07,Malaysia,12,0
2020-02-07,Nepal,1,0
2020-02-07,Others,61,0
2020-02-07,Philippines,3,1
2020-02-07,Russia,2,0
2020-02-07,Singapore,30,0
2020-02-07,South Korea,24,0
2020-02-07,Spain,1,0
2020-02-07,Sri Lanka,1,0
2020-02-07,Sweden,1,0
2020-02-07,Taiwan,16,0
2020-02-07,Thailand,25,0
2020-02-07,United Kingdom,3,0
2020-02-07,United States of America,12,0
2020-02-07,United Arab Emirates,5,0
2020-02-07,Viet Nam,10,0
2020-02-07,Total,34392,719
2020-02-08,Australia,15,0
2020-02-08,Belgium,1,0
2020-02-08,Cambodia,1,0
2020-02-08,Canada,7,0
2020-02-08,Finland,1,0
2020-02-08,France,11,0
2020-02-08,Germany,13,0
2020-02-08,Hong Kong,26,1
2020-02-08,India,3,0
2020-02-08,Italy,3,0
2020-02-08,Japan,25,0
2020-02-08,Macao,10,0
2020-02-08,China,36778,804
2020-02-08,Malaysia,16,0
2020-02-08,Nepal,1,0
2020-02-08,Others,61,0
2020-02-08,Philippines,3,1
2020-02-08,Russia,2,0
2020-02-08,Singapore,33,0
2020-02-08,South Korea,24,0
2020-02-08,Spain,1,0
2020-02-08,Sri Lanka,1,0
2020-02-08,Sweden,1,0
2020-02-08,Taiwan,17,0
2020-02-08,Thailand,32,0
2020-02-08,United Kingdom,3,0
2020-02-08,United States of America,12,0
2020-02-08,United Arab Emirates,7,0
2020-02-08,Viet Nam,13,0
2020-02-08,Total,37121,806
2020-02-09,Australia,15,0
2020-02-09,Belgium,1,0
2020-02-09,Cambodia,1,0
2020-02-09,Canada,7,0
2020-02-09,Finland,1,0
2020-02-09,France,11,0
2020-02-09,Germany,14,0
2020-02-09,Hong Kong,29,1
2020-02-09,India,3,0
2020-02-09,Italy,3,0
2020-02-09,Japan,26,0
2020-02-09,Macao,10,0
2020-02-09,China,39790,904
2020-02-09,Malaysia,16,0
2020-02-09,Nepal,1,0
2020-02-09,Others,64,0
2020-02-09,Philippines,3,1
2020-02-09,Russia,2,0
2020-02-09,Singapore,40,0
2020-02-09,South Korea,25,0
2020-02-09,Spain,2,0
2020-02-09,Sri Lanka,1,0
2020-02-09,Sweden,1,0
2020-02-09,Taiwan,18,0
2020-02-09,Thailand,32,0
2020-02-09,United Kingdom,3,0
2020-02-09,United States of America,12,0
2020-02-09,United Arab Emirates,7,0
2020-02-09,Viet Nam,13,0
2020-02-09,Total,40151,906
2020-02-10,Australia,15,0
2020-02-10,Belgium,1,0
2020-02-10,Cambodia,1,0
2020-02-10,Canada,7,0
2020-02-10,Finland,1,0
2020-02-10,France,11,0
2020-02-10,Germany,14,0
2020-02-10,Hong Kong,38,1
2020-02-10,India,3,0
2020-02-10,Italy,3,0
2020-02-10,Japan,26,0
2020-02-10,Macao,10,0
2020-02-10,China,42306,1011
2020-02-10,Malaysia,18,0
2020-02-10,Nepal,1,0
2020-02-10,Others,135,0
2020-02-10,Philippines,3,1
2020-02-10,Russia,2,0
2020-02-10,Singapore,45,0
2020-02-10,South Korea,27,0
2020-02-10,Spain,2,0
2020-02-10,Sri Lanka,1,0
2020-02-10,Sweden,1,0
2020-02-10,Taiwan,18,0
2020-02-10,Thailand,32,0
2020-02-10,United Kingdom,8,0
2020-02-10,United States of America,12,0
2020-02-10,United Arab Emirates,8,0
2020-02-10,Viet Nam,14,0
2020-02-10,Total,42763,1013
2020-02-11,Australia,15,0
2020-02-11,Belgium,1,0
2020-02-11,Cambodia,1,0
2020-02-11,Canada,7,0
2020-02-11,Finland,1,0
2020-02-11,France,11,0
2020-02-11,Germany,16,0
2020-02-11,Hong Kong,49,1
2020-02-11,India,3,0
2020-02-11,Italy,3,0
2020-02-11,Japan,26,0
2020-02-11,Macao,10,0
2020-02-11,China,44327,1111
2020-02-11,Malaysia,18,0
2020-02-11,Nepal,1,0
2020-02-11,Others,135,0
2020-02-11,Philippines,3,1
2020-02-11,Russia,2,0
2020-02-11,Singapore,47,0
2020-02-11,South Korea,28,0
2020-02-11,Spain,2,0
2020-02-11,Sri Lanka,1,0
2020-02-11,Sweden,1,0
2020-02-11,Taiwan,18,0
2020-02-11,Thailand,33,0
2020-02-11,United Kingdom,8,0
2020-02-11,United States of America,13,0
2020-02-11,United Arab Emirates,8,0
2020-02-11,Viet Nam,15,0
2020-02-11,Total,44803,1113
2020-02-12,Australia,15,0
2020-02-12,Belgium,1,0
2020-02-12,Cambodia,1,0
2020-02-12,Canada,7,0
2020-02-12,Finland,1,0
2020-02-12,France,11,0
2020-02-12,Germany,16,0
2020-02-12,Hong Kong,50,1
2020-02-12,India,3,0
2020-02-12,Italy,3,0
2020-02-12,Japan,28,0
2020-02-12,Macao,10,0
2020-02-12,China,44699,1116
2020-02-12,Malaysia,18,0
2020-02-12,Nepal,1,0
2020-02-12,Others,175,0
2020-02-12,Philippines,3,1
2020-02-12,Russia,2,0
2020-02-12,Singapore,50,0
2020-02-12,South Korea,28,0
2020-02-12,Spain,2,0
2020-02-12,Sri Lanka,1,0
2020-02-12,Sweden,1,0
2020-02-12,Taiwan,18,0
2020-02-12,Thailand,33,0
2020-02-12,United Kingdom,9,0
2020-02-12,United States of America,13,0
2020-02-12,United Arab Emirates,8,0
2020-02-12,Viet Nam,15,0
2020-02-12,Total,45222,1118
2020-02-13,Australia,15,0
2020-02-13,Belgium,1,0
2020-02-13,Cambodia,1,0
2020-02-13,Canada,7,0
2020-02-13,Finland,1,0
2020-02-13,France,11,0
2020-02-13,Germany,16,0
2020-02-13,Hong Kong,53,1
2020-02-13,India,3,0
2020-02-13,Italy,3,0
2020-02-13,Japan,28,1
2020-02-13,Macao,10,0
2020-02-13,China,59832,1368
2020-02-13,Malaysia,19,0
2020-02-13,Nepal,1,0
2020-02-13,Others,175,0
2020-02-13,Philippines,3,1
2020-02-13,Russia,2,0
2020-02-13,Singapore,58,0
2020-02-13,South Korea,28,0
2020-02-13,Spain,2,0
2020-02-13,Sri Lanka,1,0
2020-02-13,Sweden,1,0
2020-02-13,Taiwan,18,0
2020-02-13,Thailand,33,0
2020-02-13,United Kingdom,9,0
2020-02-13,United States of America,15,0
2020-02-13,United Arab Emirates,8,0
2020-02-13,Viet Nam,16,0
2020-02-13,Total,60370,1371
2020-02-14,Australia,15,0
2020-02-14,Belgium,1,0
2020-02-14,Cambodia,1,0
2020-02-14,Canada,7,0
2020-02-14,Egypt,1,0
2020-02-14,Finland,1,0
2020-02-14,France,11,0
2020-02-14,Germany,16,0
2020-02-14,Hong Kong,56,1
2020-02-14,India,3,0
2020-02-14,Italy,3,0
2020-02-14,Japan,29,1
2020-02-14,Macao,10,0
2020-02-14,China,66292,1520
2020-02-14,Malaysia,19,0
2020-02-14,Nepal,1,0
2020-02-14,Others,218,0
2020-02-14,Philippines,3,1
2020-02-14,Russia,2,0
2020-02-14,Singapore,67,0
2020-02-14,South Korea,28,0
2020-02-14,Spain,2,0
2020-02-14,Sri Lanka,1,0
2020-02-14,Sweden,1,0
2020-02-14,Taiwan,18,0
2020-02-14,Thailand,33,0
2020-02-14,United Kingdom,9,0
2020-02-14,United States of America,15,0
2020-02-14,United Arab Emirates,8,0
2020-02-14,Viet Nam,16,0
2020-02-14,Total,66887,1523
2020-02-15,Australia,15,0
2020-02-15,Belgium,1,0
2020-02-15,Cambodia,1,0
2020-02-15,Canada,7,0
2020-02-15,Egypt,1,0
2020-02-15,Finland,1,0
2020-02-15,France,12,1
2020-02-15,Germany,16,0
2020-02-15,Hong Kong,56,1
2020-02-15,India,3,0
2020-02-15,Italy,3,0
2020-02-15,Japan,43,1
2020-02-15,Macao,10,0
2020-02-15,China,68347,1662
2020-02-15,Malaysia,22,0
2020-02-15,Nepal,1,0
2020-02-15,Others,285,0
2020-02-15,Philippines,3,1
2020-02-15,Russia,2,0
2020-02-15,Singapore,72,0
2020-02-15,South Korea,28,0
2020-02-15,Spain,2,0
2020-02-15,Sri Lanka,1,0
2020-02-15,Sweden,1,0
2020-02-15,Taiwan,18,0
2020-02-15,Thailand,33,0
2020-02-15,United Kingdom,9,0
2020-02-15,United States of America,15,0
2020-02-15,United Arab Emirates,8,0
2020-02-15,Viet Nam,16,0
2020-02-15,Total,69032,1666
2020-02-16,Australia,15,0
2020-02-16,Belgium,1,0
2020-02-16,Cambodia,1,0
2020-02-16,Canada,7,0
2020-02-16,Egypt,1,0
2020-02-16,Finland,1,0
2020-02-16,France,12,1
2020-02-16,Germany,16,0
2020-02-16,Hong Kong,57,1
2020-02-16,India,3,0
2020-02-16,Italy,3,0
2020-02-16,Japan,59,1
2020-02-16,Macao,10,0
2020-02-16,China,70446,1765
2020-02-16,Malaysia,22,0
2020-02-16,Nepal,1,0
2020-02-16,Others,355,0
2020-02-16,Philippines,3,1
2020-02-16,Russia,2,0
2020-02-16,Singapore,75,0
2020-02-16,South Korea,29,0
2020-02-16,Spain,2,0
2020-02-16,Sri Lanka,1,0
2020-02-16,Sweden,1,0
2020-02-16,Taiwan,20,1
2020-02-16,Thailand,34,0
2020-02-16,United Kingdom,9,0
2020-02-16,United States of America,15,0
2020-02-16,United Arab Emirates,9,0
2020-02-16,Viet Nam,16,0
2020-02-16,Total,71226,1770
2020-02-17,Australia,15,0
2020-02-17,Belgium,1,0
2020-02-17,Cambodia,1,0
2020-02-17,Canada,8,0
2020-02-17,Egypt,1,0
2020-02-17,Finland,1,0
2020-02-17,France,12,1
2020-02-17,Germany,16,0
2020-02-17,Hong Kong,60,1
2020-02-17,India,3,0
2020-02-17,Italy,3,0
2020-02-17,Japan,66,1
2020-02-17,Macao,10,0
2020-02-17,China,72364,1863
2020-02-17,Malaysia,22,0
2020-02-17,Nepal,1,0
2020-02-17,Others,454,0
2020-02-17,Philippines,3,1
2020-02-17,Russia,2,0
2020-02-17,Singapore,77,0
2020-02-17,South Korea,30,0
2020-02-17,Spain,2,0
2020-02-17,Sri Lanka,1,0
2020-02-17,Sweden,1,0
2020-02-17,Taiwan,22,1
2020-02-17,Thailand,35,0
2020-02-17,United Kingdom,9,0
2020-02-17,United States of America,15,0
2020-02-17,United Arab Emirates,9,0
2020-02-17,Viet Nam,16,0
2020-02-17,Total,73260,1868
2020-02-18,Australia,15,0
2020-02-18,Belgium,1,0
2020-02-18,Cambodia,1,0
2020-02-18,Canada,8,0
2020-02-18,Egypt,1,0
2020-02-18,Finland,1,0
2020-02-18,France,12,1
2020-02-18,Germany,16,0
2020-02-18,Hong Kong,62,1
2020-02-18,India,3,0
2020-02-18,Italy,3,0
2020-02-18,Japan,74,1
2020-02-18,Macao,10,0
2020-02-18,China,74139,2002
2020-02-18,Malaysia,22,0
2020-02-18,Nepal,1,0
2020-02-18,Others,542,0
2020-02-18,Philippines,3,1
2020-02-18,Russia,2,0
2020-02-18,Singapore,81,0
2020-02-18,South Korea,31,0
2020-02-18,Spain,2,0
2020-02-18,Sri Lanka,1,0
2020-02-18,Sweden,1,0
2020-02-18,Taiwan,22,1
2020-02-18,Thailand,35,0
2020-02-18,United Kingdom,9,0
2020-02-18,United States of America,15,0
2020-02-18,United Arab Emirates,9,0
2020-02-18,Viet Nam,16,0
2020-02-18,Total,75138,2007
2020-02-19,Australia,15,0
2020-02-19,Belgium,1,0
2020-02-19,Cambodia,1,0
2020-02-19,Canada,8,0
2020-02-19,Egypt,1,0
2020-02-19,Finland,1,0
2020-02-19,France,12,1
2020-02-19,Germany,16,0
2020-02-19,Hong Kong,63,2
2020-02-19,India,3,0
2020-02-19,Iran,2,2
2020-02-19,Italy,3,0
2020-02-19,Japan,84,1
2020-02-19,Macao,10,0
2020-02-19,China,74546,2114
2020-02-19,Malaysia,22,0
2020-02-19,Nepal,1,0
2020-02-19,Others,621,0
2020-02-19,Philippines,3,1
2020-02-19,Russia,2,0
2020-02-19,Singapore,84,0
2020-02-19,South Korea,31,0
2020-02-19,Spain,2,0
2020-02-19,Sri Lanka,1,0
2020-02-19,Sweden,1,0
2020-02-19,Taiwan,23,1
2020-02-19,Thailand,35,0
2020-02-19,United Kingdom,9,0
2020-02-19,United States of America,15,0
2020-02-19,United Arab Emirates,9,0
2020-02-19,Viet Nam,16,0
2020-02-19,Total,75641,2122
2020-02-20,Australia,15,0
2020-02-20,Belgium,1,0
2020-02-20,Cambodia,1,0
2020-02-20,Canada,8,0
2020-02-20,Egypt,1,0
2020-02-20,Finland,1,0
2020-02-20,France,12,1
2020-02-20,Germany,16,0
2020-02-20,Hong Kong,68,2
2020-02-20,India,3,0
2020-02-20,Iran,5,2
2020-02-20,Italy,3,0
2020-02-20,Japan,94,1
2020-02-20,Macao,10,0
2020-02-20,China,74999,2236
2020-02-20,Malaysia,22,0
2020-02-20,Nepal,1,0
2020-02-20,Others,634,2
2020-02-20,Philippines,3,1
2020-02-20,Russia,2,0
2020-02-20,Singapore,84,0
2020-02-20,South Korea,104,1
2020-02-20,Spain,2,0
2020-02-20,Sri Lanka,1,0
2020-02-20,Sweden,1,0
2020-02-20,Taiwan,24,1
2020-02-20,Thailand,35,0
2020-02-20,United Kingdom,9,0
2020-02-20,United States of America,15,0
2020-02-20,United Arab Emirates,9,0
2020-02-20,Viet Nam,16,0
2020-02-20,Total,76199,2247
2020-02-21,Australia,19,0
2020-02-21,Belgium,1,0
2020-02-21,Cambodia,1,0
2020-02-21,Canada,9,0
2020-02-21,Egypt,1,0
2020-02-21,Finland,1,0
2020-02-21,France,12,1
2020-02-21,Germany,16,0
2020-02-21,Hong Kong,68,2
2020-02-21,India,3,0
2020-02-21,Iran,18,4
2020-02-21,Israel,1,0
2020-02-21,Italy,20,1
2020-02-21,Japan,105,1
2020-02-21,Lebanon,1,0
2020-02-21,Macao,10,0
2020-02-21,China,75472,2236
2020-02-21,Malaysia,22,0
2020-02-21,Nepal,1,0
2020-02-21,Others,634,2
2020-02-21,Philippines,3,1
2020-02-21,Russia,2,0
2020-02-21,Singapore,85,0
2020-02-21,South Korea,204,2
2020-02-21,Spain,2,0
2020-02-21,Sri Lanka,1,0
2020-02-21,Sweden,1,0
2020-02-21,Taiwan,26,1
2020-02-21,Thailand,35,0
2020-02-21,United Kingdom,9,0
2020-02-21,United States of America,35,0
2020-02-21,United Arab Emirates,9,0
2020-02-21,Viet Nam,16,0
2020-02-21,Total,76843,2251
2020-02-22,Australia,22,0
2020-02-22,Belgium,1,0
2020-02-22,Cambodia,1,0
2020-02-22,Canada,9,0
2020-02-22,Egypt,1,0
2020-02-22,Finland,1,0
2020-02-22,France,12,1
2020-02-22,Germany,16,0
2020-02-22,Hong Kong,69,2
2020-02-22,India,3,0
2020-02-22,Iran,28,5
2020-02-22,Israel,1,0
2020-02-22,Italy,62,2
2020-02-22,Japan,122,1
2020-02-22,Lebanon,1,0
2020-02-22,Macao,10,0
2020-02-22,China,76922,2441
2020-02-22,Malaysia,22,0
2020-02-22,Nepal,1,0
2020-02-22,Others,634,2
2020-02-22,Philippines,3,1
2020-02-22,Russia,2,0
2020-02-22,Singapore,85,0
2020-02-22,South Korea,433,2
2020-02-22,Spain,2,0
2020-02-22,Sri Lanka,1,0
2020-02-22,Sweden,1,0
2020-02-22,Taiwan,26,1
2020-02-22,Thailand,35,0
2020-02-22,United Kingdom,9,0
2020-02-22,United States of America,35,0
2020-02-22,United Arab Emirates,13,0
2020-02-22,Viet Nam,16,0
2020-02-22,Total,78599,2458
2020-02-23,Australia,22,0
2020-02-23,Belgium,1,0
2020-02-23,Cambodia,1,0
2020-02-23,Canada,9,0
2020-02-23,Egypt,1,0
2020-02-23,Finland,1,0
2020-02-23,France,12,1
2020-02-23,Germany,16,0
2020-02-23,Hong Kong,74,2
2020-02-23,India,3,0
2020-02-23,Iran,43,8
2020-02-23,Iraq,0,0
2020-02-23,Israel,1,0
2020-02-23,Italy,155,3
2020-02-23,Japan,147,1
2020-02-23,Lebanon,1,0
2020-02-23,Macao,10,0
2020-02-23,China,76938,2443
2020-02-23,Malaysia,22,0
2020-02-23,Nepal,1,0
2020-02-23,Others,691,3
2020-02-23,Philippines,3,1
2020-02-23,Russia,2,0
2020-02-23,Singapore,89,0
2020-02-23,South Korea,602,6
2020-02-23,Spain,2,0
2020-02-23,Sri Lanka,1,0
2020-02-23,Sweden,1,0
2020-02-23,Taiwan,28,1
2020-02-23,Thailand,35,0
2020-02-23,United Kingdom,9,0
